date,fpo,produce,temperature,humidity,harvest_volume_kg,market_price,storage_days,storage_capacity_kg,storage_demand_kg,utilization_pct,spoilage_risk,future_market_price,storage_cost_per_kg,potential_revenue,decision
2025-01-01 00:00:00,FPO_Karnal,Onion,30.19,54.2,516,33.64,1,2000,206.13,10.31,LOW,48.35,3.17,24950.79,STORE
2025-01-01 01:00:00,FPO_Nagpur,Tomato,21.17,63.47,837,29.92,5,2000,623.59,31.18,LOW,26.13,4.81,21872.46,SELL NOW
2025-01-01 02:00:00,FPO_Lucknow,Apple,32.5,68.49,557,104.52,1,1000,482.73,48.27,LOW,106.16,4.37,59129.79,SELL NOW
2025-01-01 03:00:00,FPO_Karnal,Cabbage,22.9,64.27,1499,22.4,3,2000,1098.33,54.92,LOW,18.93,1.59,28377.59,SELL NOW
2025-01-01 04:00:00,FPO_Jaipur,Onion,32.84,46.71,889,35.42,9,1000,579.89,57.99,LOW,42.18,4.24,37496.74,STORE
2025-01-01 05:00:00,FPO_Surat,Potato,25.44,42.91,543,18.91,3,1500,381.92,25.46,LOW,25.66,2.1,13931.72,STORE
2025-01-01 06:00:00,FPO_Lucknow,Onion,23.26,42.6,1654,31.01,3,1000,1000.0,100.0,LOW,30.53,3.5,50489.05,SELL NOW
2025-01-01 07:00:00,FPO_Lucknow,Onion,37.68,75.89,758,27.19,13,1500,937.82,62.52,HIGH,23.98,4.32,18176.34,SELL NOW
2025-01-01 08:00:00,FPO_Karnal,Potato,29.06,52.69,911,21.51,9,2000,755.36,37.77,LOW,22.58,3.46,20569.25,SELL NOW
2025-01-01 09:00:00,FPO_Nashik,Mango,26.07,72.04,762,70.17,5,1500,614.67,40.98,LOW,69.68,2.91,53095.81,SELL NOW
2025-01-01 10:00:00,FPO_Jaipur,Mango,32.55,66.3,638,62.55,12,2500,789.53,31.58,MEDIUM,65.87,2.62,42023.32,SELL NOW
2025-01-01 11:00:00,FPO_Karnal,Tomato,19.96,50.38,1685,29.13,8,2000,1470.55,73.53,LOW,40.22,2.57,67778.74,STORE
2025-01-01 12:00:00,FPO_Jaipur,Tomato,34.64,50.75,1493,35.06,10,1000,1000.0,100.0,MEDIUM,41.37,4.43,61760.26,STORE
2025-01-01 13:00:00,FPO_Jaipur,Mango,27.16,67.01,1932,47.18,9,500,500.0,100.0,MEDIUM,53.97,4.39,104274.47,STORE
2025-01-01 14:00:00,FPO_Surat,Cabbage,31.6,66.17,1654,24.21,12,2000,1577.84,78.89,MEDIUM,27.18,4.38,44963.57,STORE
2025-01-01 15:00:00,FPO_Lucknow,Apple,18.71,72.38,1244,97.5,6,2500,1207.8,48.31,LOW,113.72,2.49,141466.79,STORE
2025-01-01 16:00:00,FPO_Nagpur,Onion,25.71,58.14,342,25.71,7,1500,341.83,22.79,LOW,29.29,4.3,10018.87,STORE
2025-01-01 17:00:00,FPO_Surat,Apple,28.03,52.3,1983,92.36,7,1000,1000.0,100.0,LOW,98.98,1.63,196286.89,SELL NOW
2025-01-01 18:00:00,FPO_Surat,Onion,34.18,66.65,1067,28.9,7,1000,1000.0,100.0,MEDIUM,37.4,2.22,39903.38,STORE
2025-01-01 19:00:00,FPO_Jaipur,Mango,32.08,86.3,552,63.47,4,2500,589.05,23.56,LOW,66.21,3.3,36548.98,SELL NOW
2025-01-01 20:00:00,FPO_Indore,Tomato,25.65,36.85,1688,27.27,13,2500,1452.65,58.11,LOW,31.3,2.92,52839.32,STORE
2025-01-01 21:00:00,FPO_Lucknow,Cabbage,29.91,53.01,1216,28.99,13,2000,1279.43,63.97,LOW,29.15,1.89,35440.73,SELL NOW
2025-01-01 22:00:00,FPO_Nashik,Tomato,35.54,73.86,667,28.36,2,500,392.56,78.51,MEDIUM,31.45,1.65,20975.47,STORE
2025-01-01 23:00:00,FPO_Surat,Apple,26.8,68.25,1736,105.83,2,500,500.0,100.0,LOW,116.15,3.64,201633.07,SELL NOW
2025-01-02 00:00:00,FPO_Nagpur,Tomato,26.15,74.08,1687,25.49,7,1500,1323.61,88.24,MEDIUM,34.31,2.6,57873.55,STORE
2025-01-02 01:00:00,FPO_Indore,Mango,16.66,58.56,1076,50.64,10,1000,1000.0,100.0,LOW,57.07,1.56,61412.07,STORE
2025-01-02 02:00:00,FPO_Indore,Cabbage,26.33,40.82,1617,17.1,7,2000,1278.12,63.91,LOW,24.65,3.01,39858.66,STORE
2025-01-02 03:00:00,FPO_Nashik,Apple,17.56,90.07,1118,97.51,10,1000,1000.0,100.0,MEDIUM,100.32,2.57,112162.26,SELL NOW
2025-01-02 04:00:00,FPO_Surat,Cabbage,27.31,81.26,1976,20.6,7,2000,1605.07,80.25,MEDIUM,28.34,3.52,55999.97,STORE
2025-01-02 05:00:00,FPO_Nagpur,Onion,33.93,64.64,1281,27.05,13,2500,1323.81,52.95,MEDIUM,29.29,4.75,37515.35,SELL NOW
2025-01-02 06:00:00,FPO_Lucknow,Tomato,15.28,52.38,1349,33.69,8,1500,1238.34,82.56,LOW,28.53,2.58,38482.12,SELL NOW
2025-01-02 07:00:00,FPO_Ahmedabad,Cabbage,35.41,57.64,1040,17.49,3,2500,693.24,27.73,LOW,29.66,4.99,30843.01,STORE
2025-01-02 08:00:00,FPO_Nagpur,Potato,26.02,68.44,1077,29.54,13,1000,1000.0,100.0,MEDIUM,31.52,1.8,33946.29,SELL NOW
2025-01-02 09:00:00,FPO_Nashik,Tomato,27.84,61.23,1684,23.97,11,1500,1500.0,100.0,MEDIUM,32.24,1.81,54296.42,STORE
2025-01-02 10:00:00,FPO_Indore,Onion,24.99,64.78,251,23.78,5,2000,240.2,12.01,LOW,24.97,4.0,6266.53,SELL NOW
2025-01-02 11:00:00,FPO_Lucknow,Cabbage,17.72,89.15,1211,24.31,6,2000,1164.42,58.22,LOW,13.86,4.12,16781.41,SELL NOW
2025-01-02 12:00:00,FPO_Nagpur,Apple,23.3,78.86,1958,107.5,13,1500,1500.0,100.0,HIGH,110.13,2.98,215636.54,SELL NOW
2025-01-02 13:00:00,FPO_Ahmedabad,Onion,40.58,47.44,1013,26.44,8,2500,727.8,29.11,LOW,20.23,2.5,20493.12,SELL NOW
2025-01-02 14:00:00,FPO_Ahmedabad,Potato,21.42,66.15,468,19.0,8,1500,799.77,53.32,LOW,25.77,4.28,12061.27,STORE
2025-01-02 15:00:00,FPO_Jaipur,Cabbage,18.47,57.19,295,22.33,10,2500,486.55,19.46,LOW,24.18,4.85,7134.06,SELL NOW
2025-01-02 16:00:00,FPO_Jaipur,Mango,28.85,69.47,472,65.75,3,1500,226.28,15.09,LOW,74.84,4.96,35326.6,STORE
2025-01-02 17:00:00,FPO_Karnal,Tomato,27.49,64.05,1546,25.77,12,2500,1302.6,52.1,LOW,29.94,3.72,46280.71,STORE
2025-01-02 18:00:00,FPO_Nashik,Apple,26.06,95.0,1796,102.23,14,500,500.0,100.0,HIGH,100.08,4.09,179744.84,SELL NOW
2025-01-02 19:00:00,FPO_Surat,Mango,28.09,71.44,1916,60.6,4,1500,1361.88,90.79,LOW,66.95,4.38,128279.9,STORE
2025-01-02 20:00:00,FPO_Nagpur,Cabbage,31.87,62.99,332,24.45,6,2500,259.21,10.37,LOW,19.65,4.3,6524.47,SELL NOW
2025-01-02 21:00:00,FPO_Nagpur,Cabbage,24.48,92.65,1127,22.51,4,1000,1000.0,100.0,MEDIUM,23.97,4.98,27015.54,SELL NOW
2025-01-02 22:00:00,FPO_Surat,Onion,29.17,68.08,288,39.84,10,1000,550.84,55.08,LOW,33.53,4.34,9655.27,SELL NOW
2025-01-02 23:00:00,FPO_Karnal,Cabbage,34.14,42.22,884,38.96,4,1500,452.45,30.16,LOW,43.71,3.82,38640.31,STORE
2025-01-03 00:00:00,FPO_Indore,Apple,22.03,63.13,1023,95.58,5,1500,830.96,55.4,LOW,99.82,2.82,102115.08,SELL NOW
2025-01-03 01:00:00,FPO_Indore,Mango,15.0,74.21,204,54.64,10,2000,798.48,39.92,LOW,58.27,3.59,11887.8,SELL NOW
2025-01-03 02:00:00,FPO_Karnal,Apple,32.02,72.27,556,100.2,7,2500,536.04,21.44,LOW,98.52,4.58,54779.67,SELL NOW
2025-01-03 03:00:00,FPO_Indore,Potato,43.02,80.08,1566,10.63,12,1500,1164.59,77.64,HIGH,20.4,2.57,31941.67,SELL NOW
2025-01-03 04:00:00,FPO_Jaipur,Potato,27.96,67.31,403,22.24,2,1000,357.23,35.72,LOW,29.79,1.61,12003.37,STORE
2025-01-03 05:00:00,FPO_Nagpur,Tomato,29.21,66.25,1897,38.04,13,1000,1000.0,100.0,HIGH,42.21,2.65,80065.12,SELL NOW
2025-01-03 06:00:00,FPO_Karnal,Tomato,26.23,43.96,1796,25.01,2,1000,1000.0,100.0,LOW,25.1,4.86,45081.88,SELL NOW
2025-01-03 07:00:00,FPO_Nagpur,Potato,37.53,87.93,670,27.4,12,2500,779.87,31.19,HIGH,28.65,4.28,19197.51,SELL NOW
2025-01-03 08:00:00,FPO_Surat,Cabbage,27.53,60.42,663,32.35,10,500,500.0,100.0,MEDIUM,35.27,2.15,23384.0,SELL NOW
2025-01-03 09:00:00,FPO_Ahmedabad,Apple,26.88,50.31,696,95.69,14,1500,902.93,60.2,LOW,93.19,1.54,64858.41,SELL NOW
2025-01-03 10:00:00,FPO_Jaipur,Potato,33.47,95.0,901,22.89,9,500,500.0,100.0,HIGH,30.16,3.84,27171.48,SELL NOW
2025-01-03 11:00:00,FPO_Lucknow,Tomato,25.09,90.2,1036,29.77,4,2500,915.62,36.62,LOW,39.07,3.53,40473.47,STORE
2025-01-03 12:00:00,FPO_Jaipur,Potato,20.29,58.28,262,25.64,5,1500,418.01,27.87,LOW,37.19,1.79,9743.73,STORE
2025-01-03 13:00:00,FPO_Karnal,Cabbage,33.29,36.79,1779,29.01,3,2000,1160.4,58.02,LOW,30.29,4.88,53886.78,SELL NOW
2025-01-03 14:00:00,FPO_Lucknow,Potato,24.45,54.22,438,27.61,2,1500,413.57,27.57,LOW,37.5,3.66,16424.49,STORE
2025-01-03 15:00:00,FPO_Ahmedabad,Apple,22.15,88.69,739,96.09,14,1500,831.28,55.42,MEDIUM,106.28,3.78,78543.82,STORE
2025-01-03 16:00:00,FPO_Karnal,Mango,40.6,67.65,397,60.87,10,1500,336.65,22.44,MEDIUM,60.71,4.49,24101.73,SELL NOW
2025-01-03 17:00:00,FPO_Nashik,Cabbage,26.93,44.76,980,32.41,8,1500,857.18,57.15,LOW,30.39,2.68,29785.28,SELL NOW
2025-01-03 18:00:00,FPO_Nagpur,Tomato,30.97,76.76,1906,35.95,4,1500,1373.04,91.54,MEDIUM,44.39,3.45,84598.69,STORE
2025-01-03 19:00:00,FPO_Ahmedabad,Apple,28.18,61.85,229,101.13,14,2500,497.32,19.89,LOW,101.38,3.52,23216.68,SELL NOW
2025-01-03 20:00:00,FPO_Nagpur,Potato,22.68,55.27,865,19.34,12,1500,933.11,62.21,LOW,18.67,4.89,16151.57,SELL NOW
2025-01-03 21:00:00,FPO_Indore,Potato,32.14,56.41,1432,27.18,1,2500,795.28,31.81,LOW,34.26,1.96,49057.35,STORE
2025-01-03 22:00:00,FPO_Nashik,Mango,29.89,84.6,1286,62.68,13,1500,1364.36,90.96,HIGH,58.75,4.16,75554.43,SELL NOW
2025-01-03 23:00:00,FPO_Nashik,Tomato,24.04,73.2,1280,30.57,6,1500,980.09,65.34,LOW,31.34,3.51,40120.41,SELL NOW
2025-01-04 00:00:00,FPO_Ahmedabad,Tomato,30.6,42.71,1943,31.88,6,2500,1377.75,55.11,LOW,25.56,4.46,49660.41,SELL NOW
2025-01-04 01:00:00,FPO_Nashik,Onion,24.91,70.51,1656,25.25,2,1500,1261.12,84.07,LOW,24.04,4.41,39814.85,SELL NOW
2025-01-04 02:00:00,FPO_Lucknow,Tomato,21.37,66.61,1531,32.24,2,1000,1000.0,100.0,LOW,31.95,1.54,48912.96,SELL NOW
2025-01-04 03:00:00,FPO_Nashik,Mango,20.77,58.69,1798,60.77,8,1500,1324.6,88.31,LOW,60.02,2.4,107918.77,SELL NOW
2025-01-04 04:00:00,FPO_Nagpur,Onion,29.62,59.48,1983,35.71,11,2000,1539.31,76.97,MEDIUM,36.56,2.13,72492.65,SELL NOW
2025-01-04 05:00:00,FPO_Nagpur,Onion,25.7,52.02,1689,30.1,7,2500,1206.29,48.25,LOW,22.83,3.12,38561.4,SELL NOW
2025-01-04 06:00:00,FPO_Karnal,Potato,37.01,55.06,1876,24.92,14,1500,1500.0,100.0,HIGH,22.88,4.67,42930.81,SELL NOW
2025-01-04 07:00:00,FPO_Nagpur,Potato,27.74,69.35,1828,24.29,2,1500,1074.16,71.61,LOW,34.01,1.52,62172.19,STORE
2025-01-04 08:00:00,FPO_Karnal,Tomato,23.29,60.84,1330,25.27,10,2500,1371.31,54.85,LOW,29.76,3.21,39582.35,STORE
2025-01-04 09:00:00,FPO_Nagpur,Onion,28.95,73.19,799,25.49,1,500,416.7,83.34,LOW,25.93,4.6,20717.67,SELL NOW
2025-01-04 10:00:00,FPO_Lucknow,Potato,20.23,53.23,1217,26.03,11,1000,1000.0,100.0,LOW,25.76,4.74,31345.62,SELL NOW
2025-01-04 11:00:00,FPO_Surat,Mango,27.5,75.61,1524,55.72,8,1000,1000.0,100.0,MEDIUM,62.54,3.8,95313.57,STORE
2025-01-04 12:00:00,FPO_Karnal,Potato,29.92,84.72,819,20.32,10,1500,884.88,58.99,MEDIUM,23.75,4.4,19450.47,STORE
2025-01-04 13:00:00,FPO_Jaipur,Cabbage,29.17,64.9,1269,23.17,2,2500,993.28,39.73,LOW,20.56,2.63,26088.18,SELL NOW
2025-01-04 14:00:00,FPO_Indore,Cabbage,35.82,72.81,276,26.84,5,2000,258.91,12.95,LOW,27.17,2.5,7498.3,SELL NOW
2025-01-04 15:00:00,FPO_Ahmedabad,Potato,43.59,73.39,928,25.38,6,1500,656.2,43.75,MEDIUM,22.19,1.67,20596.74,SELL NOW
2025-01-04 16:00:00,FPO_Nagpur,Onion,32.03,57.47,1392,22.22,10,1000,1000.0,100.0,MEDIUM,21.75,3.26,30281.8,SELL NOW
2025-01-04 17:00:00,FPO_Nashik,Onion,35.07,73.45,1013,26.37,1,1500,727.97,48.53,LOW,32.8,3.1,33226.09,STORE
2025-01-04 18:00:00,FPO_Surat,Apple,43.26,30.97,1352,96.14,2,2500,501.16,20.05,LOW,102.06,2.8,137988.94,SELL NOW
2025-01-04 19:00:00,FPO_Nagpur,Cabbage,21.96,30.0,1936,23.86,14,2000,1669.25,83.46,LOW,32.01,1.9,61962.81,STORE
2025-01-04 20:00:00,FPO_Nashik,Mango,28.78,60.06,907,50.04,10,500,500.0,100.0,MEDIUM,53.75,2.31,48750.98,SELL NOW
2025-01-04 21:00:00,FPO_Indore,Onion,25.13,74.5,467,35.67,4,2000,403.66,20.18,LOW,31.12,2.21,14534.6,SELL NOW
2025-01-04 22:00:00,FPO_Indore,Tomato,33.06,63.72,1823,28.3,2,1500,1196.7,79.78,LOW,25.07,4.8,45709.26,SELL NOW
2025-01-04 23:00:00,FPO_Indore,Cabbage,29.63,76.19,964,24.33,11,1000,1000.0,100.0,HIGH,29.7,4.88,28629.8,SELL NOW
2025-01-05 00:00:00,FPO_Nashik,Mango,23.09,46.97,1973,63.77,6,2500,1497.28,59.89,LOW,67.28,1.51,132750.65,SELL NOW
2025-01-05 01:00:00,FPO_Nagpur,Mango,28.07,78.24,784,62.59,14,1500,904.72,60.31,MEDIUM,59.79,2.1,46876.77,SELL NOW
2025-01-05 02:00:00,FPO_Indore,Onion,34.28,89.43,618,32.53,4,500,500.0,100.0,HIGH,33.82,4.61,20901.97,SELL NOW
2025-01-05 03:00:00,FPO_Lucknow,Mango,20.18,54.55,1069,59.92,11,2500,958.1,38.32,LOW,72.42,1.63,77417.75,STORE
2025-01-05 04:00:00,FPO_Karnal,Onion,23.22,76.56,1384,30.52,3,2500,941.68,37.67,LOW,38.18,4.8,52843.14,STORE
2025-01-05 05:00:00,FPO_Nashik,Potato,22.32,65.34,1281,26.22,6,2500,1171.03,46.84,LOW,36.71,2.83,47031.42,STORE
2025-01-05 06:00:00,FPO_Nashik,Cabbage,29.96,71.63,583,27.66,9,1500,754.79,50.32,LOW,24.76,3.39,14437.48,SELL NOW
2025-01-05 07:00:00,FPO_Nagpur,Apple,35.44,89.4,1002,108.64,8,500,500.0,100.0,HIGH,119.99,4.17,120233.34,SELL NOW
2025-01-05 08:00:00,FPO_Nashik,Potato,15.94,69.91,709,22.7,2,1500,705.42,47.03,LOW,23.1,2.35,16377.71,SELL NOW
2025-01-05 09:00:00,FPO_Nashik,Cabbage,28.57,76.47,629,28.25,3,2500,500.52,20.02,LOW,39.11,1.85,24603.04,STORE
2025-01-05 10:00:00,FPO_Indore,Onion,22.45,46.05,1563,29.39,2,2500,943.06,37.72,LOW,34.18,4.33,53417.98,STORE
2025-01-05 11:00:00,FPO_Nagpur,Cabbage,34.03,76.0,777,26.62,10,1000,950.53,95.05,HIGH,32.76,4.95,25455.32,SELL NOW
2025-01-05 12:00:00,FPO_Indore,Onion,26.58,89.15,1139,31.88,7,2000,1102.76,55.14,MEDIUM,38.35,3.81,43683.24,STORE
2025-01-05 13:00:00,FPO_Karnal,Potato,28.78,51.15,1249,19.78,9,1500,1130.0,75.33,LOW,23.27,4.39,29069.86,STORE
2025-01-05 14:00:00,FPO_Surat,Tomato,27.99,60.15,788,24.77,1,500,500.0,100.0,LOW,30.69,4.79,24179.83,STORE
2025-01-05 15:00:00,FPO_Karnal,Tomato,34.75,75.29,997,31.21,11,2500,1099.59,43.98,MEDIUM,29.11,2.3,29024.39,SELL NOW
2025-01-05 16:00:00,FPO_Surat,Cabbage,40.29,71.72,571,27.27,3,1500,216.59,14.44,LOW,29.63,2.73,16917.22,SELL NOW
2025-01-05 17:00:00,FPO_Indore,Tomato,21.19,44.6,1127,35.34,6,2000,785.44,39.27,LOW,42.24,2.27,47606.01,STORE
2025-01-05 18:00:00,FPO_Karnal,Onion,22.28,67.47,1259,30.02,4,1500,895.31,59.69,LOW,33.57,1.72,42260.89,STORE
2025-01-05 19:00:00,FPO_Nagpur,Mango,29.93,60.01,1754,55.03,10,2000,1467.11,73.36,LOW,56.27,4.06,98704.64,SELL NOW
2025-01-05 20:00:00,FPO_Ahmedabad,Onion,23.1,50.47,1490,30.06,14,1500,1379.37,91.96,LOW,34.23,2.01,50997.33,STORE
2025-01-05 21:00:00,FPO_Indore,Mango,33.6,85.35,1655,63.85,10,1000,1000.0,100.0,HIGH,60.03,1.82,99345.38,SELL NOW
2025-01-05 22:00:00,FPO_Surat,Potato,34.56,65.08,1242,11.39,1,1500,759.36,50.62,LOW,19.62,2.75,24371.72,STORE
2025-01-05 23:00:00,FPO_Lucknow,Apple,24.72,79.75,1562,99.97,9,1000,1000.0,100.0,MEDIUM,92.57,1.71,144601.36,SELL NOW
2025-01-06 00:00:00,FPO_Surat,Mango,23.42,47.4,339,63.33,7,2000,591.57,29.58,LOW,66.21,2.13,22444.21,SELL NOW
2025-01-06 01:00:00,FPO_Lucknow,Tomato,26.35,73.83,266,29.17,14,2500,687.51,27.5,MEDIUM,35.97,1.74,9569.32,STORE
2025-01-06 02:00:00,FPO_Nashik,Onion,28.62,80.93,1214,28.21,11,2500,1052.06,42.08,MEDIUM,31.62,4.57,38381.86,STORE
2025-01-06 03:00:00,FPO_Karnal,Potato,29.89,61.37,1753,15.99,12,1500,1500.0,100.0,MEDIUM,16.64,4.23,29171.94,SELL NOW
2025-01-06 04:00:00,FPO_Lucknow,Tomato,15.0,57.54,1592,27.94,7,500,500.0,100.0,LOW,36.44,4.51,58010.12,STORE
2025-01-06 05:00:00,FPO_Surat,Potato,22.2,45.44,460,15.88,12,1500,580.3,38.69,LOW,15.43,4.54,7099.58,SELL NOW
2025-01-06 06:00:00,FPO_Nashik,Apple,25.58,51.98,1847,103.37,1,1000,1000.0,100.0,LOW,114.79,4.81,212015.29,STORE
2025-01-06 07:00:00,FPO_Ahmedabad,Onion,23.22,58.21,1173,30.31,9,1000,1000.0,100.0,LOW,32.26,2.15,37837.22,SELL NOW
2025-01-06 08:00:00,FPO_Nagpur,Cabbage,15.0,50.36,826,32.47,12,2000,1043.25,52.16,LOW,34.25,4.65,28289.21,SELL NOW
2025-01-06 09:00:00,FPO_Nagpur,Onion,16.67,53.48,1901,20.23,12,1500,1500.0,100.0,LOW,26.87,3.34,51087.39,STORE
2025-01-06 10:00:00,FPO_Nagpur,Apple,20.17,67.37,778,98.3,8,2000,725.55,36.28,LOW,99.75,2.08,77604.62,SELL NOW
2025-01-06 11:00:00,FPO_Lucknow,Onion,27.31,69.17,1990,33.67,11,500,500.0,100.0,MEDIUM,37.15,3.8,73922.14,STORE
2025-01-06 12:00:00,FPO_Ahmedabad,Cabbage,25.38,81.36,1805,30.71,12,2500,1498.3,59.93,MEDIUM,36.57,2.64,66008.46,STORE
2025-01-06 13:00:00,FPO_Lucknow,Mango,24.21,53.57,1221,63.87,10,2500,1150.87,46.03,LOW,60.74,1.66,74166.57,SELL NOW
2025-01-06 14:00:00,FPO_Karnal,Potato,32.78,65.35,1426,17.23,12,1500,1094.69,72.98,MEDIUM,23.3,1.78,33224.27,STORE
2025-01-06 15:00:00,FPO_Lucknow,Cabbage,32.78,58.73,838,22.59,5,2000,610.22,30.51,LOW,17.13,2.98,14352.52,SELL NOW
2025-01-06 16:00:00,FPO_Ahmedabad,Tomato,28.9,57.67,609,16.82,4,2000,413.08,20.65,LOW,19.76,4.39,12031.53,STORE
2025-01-06 17:00:00,FPO_Ahmedabad,Apple,28.72,60.26,1032,100.23,1,500,500.0,100.0,LOW,101.44,2.59,104690.64,SELL NOW
2025-01-06 18:00:00,FPO_Karnal,Mango,22.86,62.06,1303,65.82,9,2000,1084.35,54.22,LOW,62.26,4.18,81125.21,SELL NOW
2025-01-06 19:00:00,FPO_Ahmedabad,Tomato,23.58,68.76,1911,28.04,8,1000,1000.0,100.0,LOW,39.49,1.7,75469.86,STORE
2025-01-06 20:00:00,FPO_Surat,Tomato,17.75,60.04,312,30.88,13,1000,735.54,73.55,LOW,34.72,2.88,10832.74,STORE
2025-01-06 21:00:00,FPO_Ahmedabad,Apple,26.5,83.41,822,102.75,2,1000,687.53,68.75,LOW,102.49,1.95,84244.14,SELL NOW
2025-01-06 22:00:00,FPO_Nagpur,Mango,32.71,39.43,1020,58.42,4,1500,554.95,37.0,LOW,62.13,4.52,63368.11,SELL NOW
2025-01-06 23:00:00,FPO_Surat,Tomato,36.13,80.81,1360,15.84,4,1000,1000.0,100.0,HIGH,31.27,4.89,42533.72,SELL NOW
2025-01-07 00:00:00,FPO_Surat,Tomato,26.53,59.47,1868,34.7,13,1000,1000.0,100.0,MEDIUM,32.73,2.64,61135.17,SELL NOW
2025-01-07 01:00:00,FPO_Karnal,Mango,30.95,62.17,1039,62.16,7,2500,812.1,32.48,LOW,68.45,4.96,71119.31,STORE
